Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives payoff 0.6,0,6,-0.27272727272727293,13
scientistIncentives payoff 0.6,2,7,-1.8333333333333333,3
scientistIncentives payoff 0.6,7,4,-1.8571428571428572,2
scientistIncentives payoff 0.6,9,0,-2.0,5
scientistIncentives payoff 0.6,12,4,-1.7857142857142858,9
scientistIncentives payoff 0.6,15,10,0.1428571428571428,2
scientistIncentives payoff 0.6,19,2,-1.4,1
scientistIncentives payoff 0.6,22,10,-0.5,9
scientistIncentives payoff 0.6,24,6,1.0,5
scientistIncentives payoff 0.6,26,9,-1.125,9
scientistIncentives payoff 0.6,29,1,13.0,11
scientistIncentives payoff 0.6,34,9,27.0,11
scientistIncentives payoff 0.6,36,10,-1.0555555555555556,17
scientistIncentives payoff 0.6,39,0,-1.6666666666666667,2
scientistIncentives payoff 0.6,44,6,-1.625,3
scientistIncentives payoff 0.6,50,6,-1.1666666666666667,4
scientistIncentives payoff 0.6,53,1,1.333333333333333,7
scientistIncentives payoff 0.6,55,8,-1.2666666666666666,8
scientistIncentives payoff 0.6,57,8,-0.8999999999999999,4
scientistIncentives payoff 0.6,68,5,0.0,11
scientistIncentives payoff 0.6,8,2,-0.3333333333333335,5
scientistIncentives payoff 0.6,16,8,3.0,4
scientistIncentives payoff 0.6,25,9,0.0769230769230771,15
scientistIncentives payoff 0.6,30,6,-0.9285714285714284,16
scientistIncentives payoff 0.6,37,1,-0.2857142857142856,9
scientistIncentives payoff 0.6,40,2,-2.3333333333333335,1
scientistIncentives payoff 0.6,51,3,3.0,5
scientistIncentives payoff 0.6,54,1,0.0,4
scientistIncentives payoff 0.6,71,5,2.0,3
scientistIncentives payoff 0.6,75,4,-1.6428571428571428,11
scientistIncentives payoff 0.6,10,1,-2.0833333333333335,7
scientistIncentives payoff 0.6,47,22.880371566675354,-0.3080475972563881,25
scientistIncentives payoff 0.6,56,3,-1.0,12
scientistIncentives payoff 0.6,63,31.947872586356844,0.3096408190262707,23
scientistIncentives payoff 0.6,65,30.693932251888825,0.3105427111770003,36
scientistIncentives payoff 0.6,72,6,0.25,5
scientistIncentives payoff 0.6,81,10,-1.0769230769230769,5
scientistIncentives payoff 0.6,83,6,2.5,1
scientistIncentives payoff 0.6,86,9,-0.8571428571428572,14
scientistIncentives payoff 0.6,21,27.892582062324436,0.4544334833006243,30
scientistIncentives payoff 0.6,46,9.709780270059031,-0.326940615935682,30
scientistIncentives payoff 0.6,61,9.67416348673684,-0.5223438835800538,19
scientistIncentives payoff 0.6,82,3,-0.8571428571428572,6
scientistIncentives payoff 0.6,87,2,5.0,4
scientistIncentives payoff 0.6,89,7,4.0,4
scientistIncentives payoff 0.6,92,5,0.7999999999999998,8
scientistIncentives payoff 0.6,94,0,-2.2,2
scientistIncentives payoff 0.6,96,2,-0.7777777777777777,11
scientistIncentives payoff 0.6,14,9.63099872028874,-0.9242734362467155,25
scientistIncentives payoff 0.6,18,9.17355127246109,-1.0649834743443867,23
scientistIncentives payoff 0.6,32,15.470255159541086,-0.44770319301654515,33
scientistIncentives payoff 0.6,67,14.472318078302871,-0.5717373100024701,30
