Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives citation 0.4,2,9,-1.3636363636363635,5
scientistIncentives citation 0.4,4,3,-1.0,7
scientistIncentives citation 0.4,9,1,3.0,7
scientistIncentives citation 0.4,12,5,0.3999999999999999,4
scientistIncentives citation 0.4,18,7,0.6000000000000001,5
scientistIncentives citation 0.4,22,7,-0.8333333333333335,10
scientistIncentives citation 0.4,27,1,-1.0,6
scientistIncentives citation 0.4,29,6,-1.0666666666666667,15
scientistIncentives citation 0.4,31,5,-1.6363636363636365,8
scientistIncentives citation 0.4,35,1,-2.125,4
scientistIncentives citation 0.4,37,3,-0.8999999999999999,4
scientistIncentives citation 0.4,39,4,0.0,3
scientistIncentives citation 0.4,45,9,-0.9500000000000002,11
scientistIncentives citation 0.4,47,2,-0.22222222222222232,12
scientistIncentives citation 0.4,49,7,-1.411764705882353,12
scientistIncentives citation 0.4,52,9,6.5,9
scientistIncentives citation 0.4,56,5,-0.2666666666666666,18
scientistIncentives citation 0.4,62,4,-0.6000000000000001,5
scientistIncentives citation 0.4,65,9,-0.7894736842105261,15
scientistIncentives citation 0.4,67,9,-0.7894736842105261,10
scientistIncentives citation 0.4,69,7,-0.5833333333333335,15
scientistIncentives citation 0.4,10,7,-0.375,11
scientistIncentives citation 0.4,13,0,3.0,3
scientistIncentives citation 0.4,30,1,-1.0,5
scientistIncentives citation 0.4,38,6,-1.0833333333333333,4
scientistIncentives citation 0.4,46,5,7.0,5
scientistIncentives citation 0.4,50,7,0.5,4
scientistIncentives citation 0.4,53,0,-0.375,12
scientistIncentives citation 0.4,66,4,4.0,5
scientistIncentives citation 0.4,70,4,-0.9230769230769229,8
scientistIncentives citation 0.4,76,10,-0.6000000000000001,6
scientistIncentives citation 0.4,80,4,-1.9230769230769231,6
scientistIncentives citation 0.4,20,29.134274875130153,0.5003659658985513,26
scientistIncentives citation 0.4,32,7,22.0,11
scientistIncentives citation 0.4,36,19.788682756866823,-0.45510934906047673,30
scientistIncentives citation 0.4,42,9.180364466423368,-1.5915281600980844,3
scientistIncentives citation 0.4,51,32.95547813008621,0.3181872422458998,32
scientistIncentives citation 0.4,71,10,-0.20000000000000018,6
scientistIncentives citation 0.4,77,7,-1.4,8
scientistIncentives citation 0.4,82,4,8.0,10
scientistIncentives citation 0.4,84,4,3.0,4
scientistIncentives citation 0.4,86,4,-1.0,2
scientistIncentives citation 0.4,91,9,-0.1333333333333333,16
scientistIncentives citation 0.4,0,9.883528850085911,0.24966267590770563,20
scientistIncentives citation 0.4,6,26.694916010910475,-0.4214066285026892,27
scientistIncentives citation 0.4,8,19.575664978238983,-0.4468799676729738,24
scientistIncentives citation 0.4,17,19.640181901433667,-0.6888392482911092,29
scientistIncentives citation 0.4,40,4,-0.9090909090909092,12
scientistIncentives citation 0.4,58,18.12090942872546,-0.19754775982031347,38
scientistIncentives citation 0.4,83,1,-1.4285714285714286,3
scientistIncentives citation 0.4,90,23.00000037441093,-0.935483858815386,21
scientistIncentives citation 0.4,94,3,-1.2222222222222223,7
scientistIncentives citation 0.4,97,1,-1.0,5
scientistIncentives citation 0.4,100,10,-0.4500000000000002,20
scientistIncentives citation 0.4,7,17.42073018631038,-1.0329374472635875,20
scientistIncentives citation 0.4,28,28.073669071260493,-0.09417942867052087,40
scientistIncentives citation 0.4,41,9.872888895970537,-0.44398027883126856,23
scientistIncentives citation 0.4,44,9.149332902565138,0.8459507934666362,33
scientistIncentives citation 0.4,60,21.772061147562038,-0.2866861723576686,31
scientistIncentives citation 0.4,78,9.07752779966639,-1.2925764050581154,15
scientistIncentives citation 0.4,85,3,-1.0,6
scientistIncentives citation 0.4,92,1,-0.8333333333333335,6
scientistIncentives citation 0.4,95,5,-0.6666666666666665,2
scientistIncentives citation 0.4,98,7,1.25,3
scientistIncentives citation 0.4,104,3,-1.125,2
scientistIncentives citation 0.4,106,5,-1.6666666666666667,2
scientistIncentives citation 0.4,108,1,0.25,8
scientistIncentives citation 0.4,110,0,-0.25,3
scientistIncentives citation 0.4,112,7,-0.6111111111111112,16
scientistIncentives citation 0.4,114,4,-0.6000000000000001,3
scientistIncentives citation 0.4,116,3,0.20000000000000018,6
scientistIncentives citation 0.4,118,6,1.75,6
