Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives funding 0.4,2,9,4.0,3
scientistIncentives funding 0.4,7,5,3.0,6
scientistIncentives funding 0.4,9,5,-1.4545454545454546,2
scientistIncentives funding 0.4,11,5,-0.375,9
scientistIncentives funding 0.4,13,4,-0.6428571428571428,13
scientistIncentives funding 0.4,19,8,-0.6363636363636362,12
scientistIncentives funding 0.4,22,4,-0.5454545454545454,14
scientistIncentives funding 0.4,24,6,-0.6428571428571428,15
scientistIncentives funding 0.4,26,3,-0.5714285714285716,11
scientistIncentives funding 0.4,28,5,2.333333333333333,9
scientistIncentives funding 0.4,32,3,0.0,12
scientistIncentives funding 0.4,34,1,-1.2222222222222223,12
scientistIncentives funding 0.4,36,4,4.0,2
scientistIncentives funding 0.4,38,3,-1.4545454545454546,6
scientistIncentives funding 0.4,40,9,0.4545454545454546,14
scientistIncentives funding 0.4,44,4,-1.0,2
scientistIncentives funding 0.4,48,5,-0.75,8
scientistIncentives funding 0.4,53,9,-1.3636363636363635,5
scientistIncentives funding 0.4,55,3,-1.3333333333333333,3
scientistIncentives funding 0.4,58,5,-1.0,3
scientistIncentives funding 0.4,60,10,-0.2857142857142856,4
scientistIncentives funding 0.4,62,6,-1.4545454545454546,8
scientistIncentives funding 0.4,65,1,-1.6666666666666667,3
scientistIncentives funding 0.4,67,3,-0.6363636363636362,10
scientistIncentives funding 0.4,71,4,-0.2857142857142856,18
scientistIncentives funding 0.4,73,1,-2.5555555555555554,2
scientistIncentives funding 0.4,75,3,4.0,6
scientistIncentives funding 0.4,3,8,-0.10000000000000009,7
scientistIncentives funding 0.4,10,3,-1.0,16
scientistIncentives funding 0.4,41,3,8.0,2
scientistIncentives funding 0.4,46,20.730955596305396,-0.4212474108320232,26
scientistIncentives funding 0.4,72,2,-0.8333333333333335,2
scientistIncentives funding 0.4,76,1,-1.4545454545454546,5
scientistIncentives funding 0.4,12,1,-1.4,6
scientistIncentives funding 0.4,30,28.715776453414488,-0.04786960426016895,31
scientistIncentives funding 0.4,43,28.261151406795694,0.3182969883372677,33
scientistIncentives funding 0.4,51,24.758097626567974,-0.03709522512571617,34
scientistIncentives funding 0.4,74,10,-0.2857142857142856,22
scientistIncentives funding 0.4,79,22.449182118726153,-0.3251617350749063,29
scientistIncentives funding 0.4,83,4,0.6666666666666665,3
scientistIncentives funding 0.4,86,9,-0.7777777777777777,9
scientistIncentives funding 0.4,89,6,-1.1,2
scientistIncentives funding 0.4,91,7,-0.7999999999999998,8
scientistIncentives funding 0.4,4,23.45458970261553,-0.06993668632292449,34
scientistIncentives funding 0.4,23,9.414958613189684,-0.31321382922346697,12
scientistIncentives funding 0.4,35,19.544027694422205,-0.9862195069887014,22
scientistIncentives funding 0.4,84,3,0.5,6
scientistIncentives funding 0.4,87,3,0.0,2
scientistIncentives funding 0.4,16,9.91620659037724,0.04041597419691234,22
scientistIncentives funding 0.4,18,27.37467185822333,-0.3081472153752407,20
scientistIncentives funding 0.4,29,27.97650361808255,-0.7090953483427134,21
scientistIncentives funding 0.4,63,9.437830980038386,-0.37636190607258335,19
scientistIncentives funding 0.4,80,23.0795594547884,-0.35596126054274846,30
scientistIncentives funding 0.4,98,0,-1.0,6
scientistIncentives funding 0.4,101,5,-1.3,2
scientistIncentives funding 0.4,6,9.753739412098442,-0.2955029570578498,5
scientistIncentives funding 0.4,39,18.533240664211874,0.5427141213269211,30
scientistIncentives funding 0.4,106,1,-2.3333333333333335,3
scientistIncentives funding 0.4,88,9.920913410067413,0.48497297332164635,17
scientistIncentives funding 0.4,95,20.97315985743087,-0.291594317341465,36
scientistIncentives funding 0.4,0,9.472470823020892,-1.188157549482558,20
scientistIncentives funding 0.4,14,22.492881270906928,0.30393214822320225,29
scientistIncentives funding 0.4,45,9.873136260869014,-1.2390443052238107,20
scientistIncentives funding 0.4,105,32.41943876646413,-0.16835528533653044,30
scientistIncentives funding 0.4,112,1,-1.1666666666666667,4
scientistIncentives funding 0.4,114,0,-0.875,7
scientistIncentives funding 0.4,5,9.95958680283486,-1.6257349263205312,13
scientistIncentives funding 0.4,17,22.428966620072657,-0.15651431755177825,21
scientistIncentives funding 0.4,31,25.671950803218973,-0.12743835546368665,28
scientistIncentives funding 0.4,57,15.992129935723394,-0.8209877009643893,24
scientistIncentives funding 0.4,64,14.655315351464754,-0.9279564699466798,23
scientistIncentives funding 0.4,68,9.206223080404447,-0.7244867603165313,11
scientistIncentives funding 0.4,77,25.208160361800402,0.1742452065146578,25
scientistIncentives funding 0.4,92,9.268388267822601,-0.8406401460598172,24
scientistIncentives funding 0.4,96,9.684749098484145,-0.6894486599170446,24
scientistIncentives funding 0.4,100,27.241388179936102,-0.23901666133004618,26
